id,name,prep_time,cook_time,cal,main,ing_name,ing_q
,Plant-Based Creamy Truffle Mushroom Amorini,,10,,,truffle flavoured extra virgin olive oil,8
,Chilli Chicken Cashew Noodles,,10,,,sriracha hot chilli sauce ,8
,"One-Pot Chicken, Mushroom & Sweetcorn Noodles",,35,,,sriracha hot chilli sauce,8
,"One-Pot Spicy Chicken, Mushroom & Sweetcorn Noodles",,35,,,sriracha hot chilli sauce,8
,Crispy Chilli Beef Udon Broth,,10,,,sriracha hot chilli sauce,8
,Hawaiian-Style Huli Huli Grilled Chicken Poke,,40,,,sriracha hot chilli sauce,8
,One-Pot Thai Red Chicken Noodle Soup,,35,,,sriracha hot chilli sauce,8
,Mediterranean Fish Gyros,,10,,,soy sauce ,8
,Pak Choi & Baby Corn Black Bean Stir-Fry,,10,,,soy sauce ,8
,Beef Meatballs With Creamy Pappardelle,,25,,,soy sauce,8
,Creamy Garlic Mushroom Gnocchi,,10,,,soy sauce,8
,Miso Tofu With Stir-Fried Ginger Greens,,15,,,soy sauce,8
,One-Pot Minty Lamb & Potato Stew,,35,,,Marmite ,8
,3-Mushroom Stroganoff & Herby Walnut Rice,,30,,,white cup mushrooms,80
,One-Pot Baked Beef Stroganoff Tortiglioni,,30,,,white cup mushrooms,80
,Kickin' Cajun Chicken & Sweetcorn Casserole,,25,,,trimmed fine green beans,80
,One-Pot Thai Red Chicken Noodle Soup,,35,,,trimmed fine green beans,80
,Oven-Baked Normandy Chicken & Apple Casserole,,35,,,trimmed fine green beans,80
,Speedy Harissa & Tomato Haddock With Couscous,,15,,,trimmed fine green beans,80
,Chorizo & Tenderstem Fusilli,,10,,,Tenderstem broccoli,80
,Speedy Teriyaki Salmon Noodles,,15,,,Tenderstem broccoli,80
,Baked Spring Veg Casserole With Honey Chicken,,45,,,sugar snap peas,80
,Speedy Teriyaki Salmon Noodles,,15,,,sugar snap peas,80
,Sticky Teriyaki Mushroom Donburi Bowl,,30,,,sugar snap peas,80
,"Creamy Sausage, Kale & Lemon Tortiglioni",,20,,,shredded kale,80
,Baked Spicy Minced Lamb Stew With Yoghurt & Dill,,45,,,natural yoghurt,80
,Chicken Tikka Naan With Indian Salad And Minty Yoghurt,,10,,,natural yoghurt,80
,"Golden Halloumi, Tzatziki & Fruity Couscous",,10,,,natural yoghurt,80
,Harissa Chickpea & Apricot Tagine,,10,,,natural yoghurt,80
,Harissa Haddock Stew With Yoghurt,,10,,,natural yoghurt,80
,Mushroom Biryani With Cucumber Raita,,10,,,natural yoghurt,80
,One-Pot Turkish-Style Lamb Bulgur Pilaf,,45,,,natural yoghurt,80
,Oven-Baked Lean Beef Mince & Black Bean Chilli,,35,,,natural yoghurt,80
,Oven-Baked Mexican Beef & Black Bean Chilli,,35,,,natural yoghurt,80
,Scandi-Style Mackerel & Potato Salad With Spinach,,20,,,natural yoghurt,80
,Speedy Harissa & Tomato Haddock With Couscous,,15,,,natural yoghurt,80
,Sweet 'N' Smoky BBQ Chicken Fajitas,,20,,,natural yoghurt,80
,Easy Prawn Chow Mein,,10,,,mangetout,80
,Miso-Butter Chicken Noodles,,25,,,mangetout,80
,Sweet Chilli Turkey Noodles,,10,,,mangetout,80
,Baked Butternut Squash Biryani With Coconut Yoghurt,,25,,,coconut yoghurt,80
,Spicy Rainbow Veg & Black Bean Curry,,15,,,coconut yoghurt,80
,Smoky Chicken & Mushroom Linguine,,20,,,chestnut mushrooms ,80
,Oven-Baked Cheesy Portobello Mushroom Risotto,,35,,,chestnut mushrooms,80
,Pak Choi & Baby Corn Black Bean Stir-Fry,,10,,,chestnut mushrooms,80
,Plant-Based Creamy Truffle Mushroom Amorini,,10,,,chestnut mushrooms,80
,Cheesy Pepperoni Pasta Bake,,35,,,cheddar cheese,80
,10-Min Creamy Chorizo Gnocchi With Spinach,,10,,,baby leaf spinach,80
,Creamy Garlic Mushroom Gnocchi,,10,,,baby leaf spinach,80
,Creamy Haddock Florentine Spaghetti,,10,,,baby leaf spinach,80
,Creamy Tarragon & Mustard Lentil Chicken,,10,,,baby leaf spinach,80
,Halloumi-Topped Tomatoey Smoked Beans  ,,15,,,baby leaf spinach,80
,Hearty Lamb RagÃ¹ Gnocchi Bake,,30,,,baby leaf spinach,80
,Lemony King Prawn Salad With Avo Dressing,,15,,,baby leaf spinach,80
,Plant-Based Creamy Truffle Mushroom Amorini,,10,,,baby leaf spinach,80
,Scandi-Style Mackerel & Potato Salad With Spinach,,20,,,baby leaf spinach,80
,Scott & Wilson's Squash & Garlic Mushroom Gnocchi,,40,,,baby leaf spinach,80
,Smoked Fish & Spinach Pilau Rice,,10,,,baby leaf spinach,80
,Spicy 'Nduja Spaghetti Carbonara,,10,,,baby leaf spinach,80
,Spicy Halloumi Stew With Couscous,,10,,,baby leaf spinach,80
,Spicy Halloumi Stew With Sultana Couscous,,10,,,baby leaf spinach,80
,Spicy Rainbow Veg & Black Bean Curry,,15,,,baby leaf spinach,80
,3-Mushroom Stroganoff & Herby Walnut Rice,,30,,,baby button mushrooms,80
,Chestnut Mushroom Bolognese,,40,,,baby button mushrooms,80
,Chicken & Butter Bean Hotpot,,45,,,baby button mushrooms,80
,Plant-Based Creamy Truffle Mushroom Amorini,,10,,,baby button mushrooms,80
,Asparagus & Goats' Cheese Risotto,,35,,,soft goats' cheese,75
,Baked Ratatouille Fusilloni With Goats' Cheese,,35,,,soft goats' cheese,75
,Courgette & Goats' Cheese Linguine,,20,,,soft goats' cheese,75
,Seeded Goats' Cheese & Sweet Potato Salad,,30,,,soft goats' cheese,75
,Tomato & Goats' Cheese Gnocchi,,10,,,soft goats' cheese,75
,Warm Goats' Cheese & Sun-Dried Tomato Salad,,30,,,soft goats' cheese,75
,Tangy Tomato & Goats' Cheese Linguine,,20,,,soft goats cheese,75
,One-Pot Smoky Spanish Fish Stew & Giant Couscous,,30,,,giant couscous,75
,Warm Goats' Cheese & Sun-Dried Tomato Salad,,30,,,wheat berries,70
,Peruvian-Style Haddock & Sweet Potato Stew,,30,,,quinoa,70
,Oven-Baked Cheesy Portobello Mushroom Risotto,,35,,,grated Italian hard cheese,70
,"Halloumi, Couscous & Orange Salad",,10,,,white wine vinegar ,7
,"Smoky Pork, Pineapple & Red Onion Tacos",,25,,,plain tortillas ,6
,Huevos Rancheros With Coriander Oil,,20,,,plain tortillas,6
,Oven-Baked Lean Beef Mince & Black Bean Chilli,,35,,,plain tortillas,6
,Oven-Baked Mexican Beef & Black Bean Chilli,,35,,,plain tortillas,6
,Sweet 'N' Smoky BBQ Chicken Fajitas,,20,,,plain tortillas,6
,Chinese Beef & Broccoli Stir-Fry,,10,,,toasted sesame seeds,5
,Crispy Chilli Beef Udon Broth,,10,,,toasted sesame seeds,5
,Sweet 'N' Sour Chicken With Edamame Rice,,10,,,toasted sesame seeds,5
,Sweet Chilli Chicken With Veg Packed Rice,,25,,,toasted sesame seeds,5
,Tangy Tomato & Goats' Cheese Linguine,,20,,,toasted sesame seeds,5
,"One-Pot Chicken, Mushroom & Sweetcorn Noodles",,35,,,toasted sesame seed,5
,"One-Pot Spicy Chicken, Mushroom & Sweetcorn Noodles",,35,,,toasted sesame seed,5
,Creamy Tarragon & Mustard Lentil Chicken,,10,,,tarragon,5
,Garlic Mushroom & Sage Gnocchi,,10,,,sage,5
,One-Pot Pulled Chicken Cacciatore With Ciabatta,,45,,,rosemary,5
,All-In-One Beef Stifado Orzo Stew,,40,,,parsley,5
,Jumbo Prawn Saganaki,,10,,,parsley,5
,King Prawn Paella With Lemon Aioli,,35,,,parsley,5
,Mediterranean Fish Gyros,,10,,,parsley,5
,Melty Greek Lamb Moussaka,,50,,,parsley,5
,One-Pot Pulled Chicken Cacciatore With Ciabatta,,45,,,parsley,5
,One-Pot Spiced Lamb & Feta Orzo ,,40,,,parsley,5
,Smoked Mackerel & Pickled Red Cabbage Salad,,10,,,parsley,5
,Smoky Chicken Goulash With Basmati Rice,,25,,,parsley,5
,"Smoky Spanish Chicken, Patatas Bravas & Aioli",,30,,,parsley,5
,All-In-One Lamb RagÃ¹ Pasta With Chilli & Mint,,50,,,mint,5
,Courgette & Goats' Cheese Linguine,,20,,,mint,5
,"One-Pot Creamy Haddock, Pea & Potato Casserole",,40,,,mint,5
,One-Pot Turkish-Style Lamb Bulgur Pilaf,,45,,,mint,5
,Spicy Halloumi Stew With Couscous,,10,,,mint,5
,Spicy Halloumi Stew With Sultana Couscous,,10,,,mint,5
,Beef Meatballs With Creamy Pappardelle,,25,,,dill,5
,Easy One-Pot Haddock & Leek Risotto,,35,,,dill,5
,"Halloumi, Couscous & Orange Salad",,10,,,dill,5
,Scandi-Style Mackerel & Potato Salad With Spinach,,20,,,dill,5
,Chilli Crab & Spring Green Noodles,,10,,,coriander ,5
,Crispy Chilli Beef Udon Broth,,10,,,coriander,5
,Peruvian-Style Haddock & Sweet Potato Stew,,30,,,coriander,5
,Peruvian-Style Prawn & Rice Chowder,,20,,,coriander,5
,"Smoky Pork, Pineapple & Red Onion Tacos",,25,,,coriander,5
,Spicy Rainbow Veg & Black Bean Curry,,15,,,coriander,5
,Warming King Prawn Bhuna With Rice And Naan,,30,,,coriander,5
,Lighter 'Creamy' Mushroom & Bacon Linguine,,20,,,chives,5
,"One-Pot Haddock, Leek & Cheddar Chowder",,25,,,chives,5
,Oven-Baked Normandy Chicken & Apple Casserole,,35,,,chives,5
,Plant-Based Creamy Truffle Mushroom Amorini,,10,,,chives,5
,Honey & Garlic Pork Noodles With Smashed Cucumber,,10,,,black sesame seeds,5
,Miso Tofu With Stir-Fried Ginger Greens,,15,,,black sesame seeds,5
,Sweet Chilli Chicken With Veg Packed Rice,,25,,,black sesame seeds,5
,Tangy Tomato & Goats' Cheese Linguine,,20,,,black sesame seeds,5
,Baked Ratatouille Fusilloni With Goats' Cheese,,35,,,basil,5
,Cheesy Pepperoni Pasta Bake,,35,,,basil,5
,Creamy Garlic Mushroom Gnocchi,,10,,,basil,5
,Creamy Pesto Salmon Fusilli,,10,,,basil,5
,"Fiery Tomato, Crab & Fennel Pappardelle ",,30,,,basil,5
,Kickin' Cajun Chicken & Sweetcorn Casserole,,25,,,basil,5
,Lemony King Prawn Salad With Avo Dressing,,15,,,basil,5
,One-Pot Creamy Sun-Dried Tomato & Chicken Stew,,35,,,basil,5
,Oven-Baked Autumn Ratatouille With Saffron Rice ,,50,,,basil,5
,Oven-Baked Spicy Prawn Arrabbiata Farfalle,,35,,,basil,5
,Chicken Caesar Salad & Focaccia Croutons,,10,,,mayonnaise ,50
,"Smoky Pork, Pineapple & Red Onion Tacos",,25,,,mayonnaise,50
,"Smoky Spanish Chicken, Patatas Bravas & Aioli",,30,,,mayonnaise,50
,One-Pot Thai Red Chicken Noodle Soup,,35,,,solid creamed coconut,50
,All-In-One Fragrant Coconutty Haddock Curry,,30,,,solid coconut cream,50
,Mc & Sons' Chicken Khao Soi Curry,,35,,,solid coconut cream,50
,One-Pot Black Pepper Chicken Dal & Naan,,30,,,solid coconut cream,50
,Prawn & Courgette Noodle Soup,,10,,,solid coconut cream,50
,"Creamy Sausage, Kale & Lemon Tortiglioni",,20,,,soft cheese ,50
,Smoked Mackerel & Lemon Risotto With Pea Shoots,,35,,,soft cheese ,50
,Smoky Chicken & Mushroom Linguine,,20,,,soft cheese ,50
,Cheesy Lentil & Tomato Stuffed Portobellos,,15,,,soft cheese,50
,Chorizo & Tenderstem Fusilli,,10,,,soft cheese,50
,Creamy Haddock Spaghetti With Chilli,,10,,,soft cheese,50
,Creamy Leek Orzo With 'Nduja Jumbo Prawns,,25,,,soft cheese,50
,Creamy Pesto Salmon Fusilli,,10,,,soft cheese,50
,Easy One-Pot Haddock & Leek Risotto,,35,,,soft cheese,50
,Kickin' Cajun Chicken & Sweetcorn Casserole,,25,,,soft cheese,50
,Oven-Baked Normandy Chicken & Apple Casserole,,35,,,soft cheese,50
,Simple Smoked Fish Florentine Bake,,45,,,soft cheese,50
,Cheesy Lentil & Tomato Stuffed Portobellos,,15,,,rocket,50
,"Chilli, Garlic & Jumbo Prawn Spaghetti",,10,,,rocket,50
,Garlic Mushroom & Sage Gnocchi,,10,,,rocket,50
,Spanish Chicken & Charred Pepper Salad,,30,,,rocket,50
,Summery Roast Chicken Salad,,30,,,rocket,50
,Tomato & Goats' Cheese Gnocchi,,10,,,rocket,50
,Smoked Mackerel & Lemon Risotto With Pea Shoots,,35,,,pea shoots,50
,Warm Halloumi Salad With Green Tomato Dressing ,,15,,,lamb's lettuce,50
,Burns Night Venison Burger With Neep & Tattie Fries,,40,,,cornichons,50
,Creamy Leek Orzo With 'Nduja Jumbo Prawns,,25,,,baby leaf salad,50
,"Halloumi, Couscous & Orange Salad",,10,,,baby leaf salad,50
,Lebanese-Style Halloumi Wraps With Tahini Sauce,,10,,,baby leaf salad,50
,Mediterranean Fish Gyros,,10,,,baby leaf salad,50
,Seeded Goats' Cheese & Sweet Potato Salad,,30,,,baby leaf salad,50
,Smoked Mackerel & Pickled Red Cabbage Salad,,10,,,baby leaf salad,50
,Warm Goats' Cheese & Sun-Dried Tomato Salad,,30,,,baby leaf salad,50
,Greek Bean Stew With Feta & Baby Kale,,10,,,baby kale,50
,Simple Smoked Fish Florentine Bake,,45,,,vegetable stock mix ,5
,Smoked Fish & Spinach Pilau Rice,,10,,,vegetable stock mix ,5
,Spicy Halloumi Stew With Couscous,,10,,,vegetable stock mix ,5
,Spicy Halloumi Stew With Sultana Couscous,,10,,,vegetable stock mix ,5
,Creamy Haddock Florentine Spaghetti,,10,,,vegetable stock mix,5
,Creamy Leek Orzo With 'Nduja Jumbo Prawns,,25,,,vegetable stock mix,5
,Garlicky Prawns With Tomato & Green Butter Orzo,,35,,,vegetable stock mix,5
,"Golden Halloumi, Tzatziki & Fruity Couscous",,10,,,vegetable stock mix,5
,Harissa Chickpea & Apricot Tagine,,10,,,vegetable stock mix,5
,Plant-Based Aubergine Pasta Bake,,40,,,vegetable stock mix,5
,Scott & Wilson's Squash & Garlic Mushroom Gnocchi,,40,,,vegetable stock mix,5
,Black Bean & Butternut Chilli With Feta And Avocado,,30,,,veg stock mix,5
,Baked Spring Veg Casserole With Honey Chicken,,45,,,Dijon mustard,5
,Beef Meatballs With Creamy Pappardelle,,25,,,Dijon mustard,5
,Chicken & Butter Bean Hotpot,,45,,,Dijon mustard,5
,Chicken Caesar Salad & Focaccia Croutons,,10,,,Dijon mustard,5
,Creamy Garlic Mushroom Gnocchi,,10,,,Dijon mustard,5
,Scandi-Style Mackerel & Potato Salad With Spinach,,20,,,Dijon mustard,5
,Summery Roast Chicken Salad,,30,,,Dijon mustard,5
,Warm Goats' Cheese & Sun-Dried Tomato Salad,,30,,,Dijon mustard,5
,Kickin' Cajun Chicken & Sweetcorn Casserole,,25,,,chicken stock mix ,5
,Moroccan Chicken With Lemony Couscous,,35,,,chicken stock mix ,5
,Cheesy Pepperoni Pasta Bake,,35,,,chicken stock mix,5
,"Creamy Sausage, Kale & Lemon Tortiglioni",,20,,,chicken stock mix,5
,Smoky Chicken & Mushroom Linguine,,20,,,chicken stock mix,5
,Beef Meatballs With Creamy Pappardelle,,25,,,beef stock mix ,5
,Hearty Lamb RagÃ¹ Gnocchi Bake,,30,,,beef stock mix,5
,"Pink Pesto, Prawn & Pepper Linguine",,20,,,sun-dried tomato nut pesto,45
,Creamy Pesto Salmon Fusilli,,10,,,classic basil nut pesto,45
,One-Pot Thai Red Chicken Noodle Soup,,35,,,Thai red curry paste,40
,Huevos Rancheros With Coriander Oil,,20,,,mature cheddar,40
,Easy Prawn Chow Mein,,10,,,hoisin sauce,40
,Sweet 'N' Smoky BBQ Chicken Fajitas,,20,,,hickory smoked BBQ sauce,40
,Oven-Baked Three Bean Chilli With Jacket Potatoes,,50,,,chipotle paste ,40
,Sticky Ginger Beef Noodles,,10,,,chilli jam,40
,Sweet Chilli Chicken With Veg Packed Rice,,25,,,chilli jam,40
,Sweet Chilli Turkey Noodles,,10,,,chilli jam,40
,All-In-One Lamb RagÃ¹ Pasta With Chilli & Mint,,50,,,cheddar cheese,40
,Asparagus & Goats' Cheese Risotto,,35,,,cheddar cheese,40
,Burns Night Venison Burger With Neep & Tattie Fries,,40,,,cheddar cheese,40
,Cheesy Lentil & Tomato Stuffed Portobellos,,15,,,cheddar cheese,40
,Chestnut Mushroom Bolognese,,40,,,cheddar cheese,40
,Garlic Mushroom & Sage Gnocchi,,10,,,cheddar cheese,40
,Melty Greek Lamb Moussaka,,50,,,cheddar cheese,40
,"One-Pot Haddock, Leek & Cheddar Chowder",,25,,,cheddar cheese,40
,Oven-Baked Lean Beef Mince & Black Bean Chilli,,35,,,cheddar cheese,40
,Oven-Baked Mexican Beef & Black Bean Chilli,,35,,,cheddar cheese,40
,Sweet 'N' Smoky BBQ Chicken Fajitas,,20,,,cheddar cheese,40
,Pak Choi & Baby Corn Black Bean Stir-Fry,,10,,,black bean paste,40
,Creamy Leek Orzo With 'Nduja Jumbo Prawns,,25,,,'Nduja,40
,Spicy 'Nduja Spaghetti Carbonara,,10,,,'Nduja,40
,Simple Smoked Fish Florentine Bake,,45,,,waxy potatoes,400
,Oven-Baked Three Bean Chilli With Jacket Potatoes,,50,,,canned red kidney beans,400
,Cheesy Lentil & Tomato Stuffed Portobellos,,15,,,canned green lentils,400
,Tangy Tomato & Goats' Cheese Linguine,,20,,,canned finely chopped tomatoes,400
,Baharat Beef Stew With Fruity Couscous,,10,,,canned chickpeas,400
,Harissa Chickpea & Apricot Tagine,,10,,,canned chickpeas,400
,Harissa Haddock Stew With Yoghurt,,10,,,canned chickpeas,400
,Halloumi-Topped Tomatoey Smoked Beans  ,,15,,,canned cannellini beans,400
,Kickin' Cajun Chicken & Sweetcorn Casserole,,25,,,canned butter beans,400
,Smoked Mackerel & Pickled Red Cabbage Salad,,10,,,canned butter beans,400
,Black Bean & Butternut Chilli With Feta And Avocado,,30,,,canned black beans,400
,Huevos Rancheros With Coriander Oil,,20,,,canned black beans,400
,Oven-Baked Lean Beef Mince & Black Bean Chilli,,35,,,canned black beans,400
,Oven-Baked Mexican Beef & Black Bean Chilli,,35,,,canned black beans,400
,Spicy Rainbow Veg & Black Bean Curry,,15,,,canned black beans,400
,"One-Pot Creamy Haddock, Pea & Potato Casserole",,40,,,white potatoes,4
,Oven-Baked Three Bean Chilli With Jacket Potatoes,,50,,,white potatoes,4
,"Smoky Spanish Chicken, Patatas Bravas & Aioli",,30,,,white potatoes,4
,Salt & Pepper Chicken With Egg Fried Rice,,30,,,tbsp cornflour,4
,Chilli Chicken Cashew Noodles,,10,,,cornflour,3
,Chinese Beef & Broccoli Stir-Fry,,10,,,cornflour,3
,Speedy Teriyaki Salmon Noodles,,15,,,cornflour,3
,Sticky Teriyaki Mushroom Donburi Bowl,,30,,,cornflour,3
,Sweet 'N' Sour Chicken With Edamame Rice,,10,,,cornflour,3
,Chicken Caesar Salad & Focaccia Croutons,,10,,,Italian hard cheese,35
,"Creamy Sausage, Kale & Lemon Tortiglioni",,20,,,Italian hard cheese,35
,"Fiery Tomato, Crab & Fennel Pappardelle ",,30,,,Italian hard cheese,35
,10-Min Creamy Chorizo Gnocchi With Spinach,,10,,,grated Italian hard cheese,35
,Baked Creamy Chorizo & Leek Pasta With Rocket,,30,,,grated Italian hard cheese,35
,"Baked Saffron, Prawn & Pea Risotto With Lemon",,35,,,grated Italian hard cheese,35
,Beef Meatballs With Creamy Pappardelle,,25,,,grated Italian hard cheese,35
,Chorizo & Tenderstem Fusilli,,10,,,grated Italian hard cheese,35
,"Chorizo, Caper & Spinach Spaghetti",,10,,,grated Italian hard cheese,35
,Creamy Garlic Mushroom Gnocchi,,10,,,grated Italian hard cheese,35
,Creamy Haddock Florentine Spaghetti,,10,,,grated Italian hard cheese,35
,Hearty Lamb RagÃ¹ Gnocchi Bake,,30,,,grated Italian hard cheese,35
,One-Pot Creamy Sun-Dried Tomato & Chicken Stew,,35,,,grated Italian hard cheese,35
,Oven-Baked Spicy Prawn Arrabbiata Farfalle,,35,,,grated Italian hard cheese,35
,Scott & Wilson's Squash & Garlic Mushroom Gnocchi,,40,,,grated Italian hard cheese,35
,Spicy 'Nduja Spaghetti Carbonara,,10,,,grated Italian hard cheese,35
,10-Min Creamy Chorizo Gnocchi With Spinach,,10,,,gnocchi,350
,Creamy Garlic Mushroom Gnocchi,,10,,,gnocchi,350
,Garlic Mushroom & Sage Gnocchi,,10,,,gnocchi,350
,Scott & Wilson's Squash & Garlic Mushroom Gnocchi,,40,,,gnocchi,350
,Tomato & Goats' Cheese Gnocchi,,10,,,gnocchi,350
,Baharat Beef Stew With Fruity Couscous,,10,,,tomato paste ,32
,Chestnut Mushroom Bolognese,,40,,,tomato paste ,32
,"Chilli, Garlic & Jumbo Prawn Spaghetti",,10,,,tomato paste ,32
,"Fiery Tomato, Crab & Fennel Pappardelle ",,30,,,tomato paste ,32
,Harissa Haddock Stew With Yoghurt,,10,,,tomato paste ,32
,Jumbo Prawn Saganaki,,10,,,tomato paste ,32
,Smoky Chicken Goulash With Basmati Rice,,25,,,tomato paste ,32
,Chunky Shepherds Pie With Buttery Greens,,55,,,tomato paste,32
,One-Pot Baked Beef Stroganoff Tortiglioni,,30,,,tomato paste,32
,One-Pot Minty Lamb & Potato Stew,,35,,,tomato paste,32
,One-Pot Spiced Lamb & Feta Orzo ,,40,,,tomato paste,32
,One-Pot Turkish-Style Lamb Bulgur Pilaf,,45,,,tomato paste,32
,Oven-Baked Autumn Ratatouille With Saffron Rice ,,50,,,tomato paste,32
,"Oven-Baked Feta, Tomato & Tenderstem Farfalle",,30,,,tomato paste,32
,Oven-Baked Lean Beef Mince & Black Bean Chilli,,35,,,tomato paste,32
,Oven-Baked Mexican Beef & Black Bean Chilli,,35,,,tomato paste,32
,Peruvian-Style Prawn & Rice Chowder,,20,,,tomato paste,32
,Plant-Based Aubergine Pasta Bake,,40,,,tomato paste,32
,Speedy Harissa & Tomato Haddock With Couscous,,15,,,tomato paste,32
,Baked Butternut Squash Biryani With Coconut Yoghurt,,25,,,butternut squash cubes,320
,Hawaiian-Style Huli Huli Grilled Chicken Poke,,40,,,British skinless chicken thighs,320
,Kickin' Cajun Chicken & Sweetcorn Casserole,,25,,,British skinless chicken thighs,320
,Salt & Pepper Chicken With Egg Fried Rice,,30,,,British skinless chicken thighs,320
,Sweet Chilli Chicken With Veg Packed Rice,,25,,,British skinless chicken thighs,320
,Baked Spring Veg Casserole With Honey Chicken,,45,,,British skin on chicken thighs,320
,Moroccan Chicken With Lemony Couscous,,35,,,British chicken thighs,320
,One-Pot Black Pepper Chicken Dal & Naan,,30,,,British chicken thighs,320
,One-Pot Pulled Chicken Cacciatore With Ciabatta,,45,,,British chicken thighs,320
,Crispy Chilli Beef Udon Broth,,10,,,soy sauce,30
,Easy Prawn Chow Mein,,10,,,soy sauce,30
,Grilled Peanut Butter Chicken & Vibrant Noodles,,15,,,soy sauce,30
,Honey & Garlic Pork Noodles With Smashed Cucumber,,10,,,soy sauce,30
,Speedy Teriyaki Salmon Noodles,,15,,,soy sauce,30
,Sticky Teriyaki Mushroom Donburi Bowl,,30,,,soy sauce,30
,Sweet Chilli Chicken With Veg Packed Rice,,25,,,soy sauce,30
,Hawaiian-Style Huli Huli Grilled Chicken Poke,,40,,,mayonnaise,30
,King Prawn Paella With Lemon Aioli,,35,,,mayonnaise,30
,Spanish Chicken & Charred Pepper Salad,,30,,,mayonnaise,30
,Lebanese-Style Halloumi Wraps With Tahini Sauce,,10,,,cider vinegar,30
,"Chilli, Garlic & Jumbo Prawn Spaghetti",,10,,,Chinese rice wine ,30
,Tomato & Goats' Cheese Gnocchi,,10,,,Chinese rice wine ,30
,Baked Creamy Chorizo & Leek Pasta With Rocket,,30,,,Chinese rice wine,30
,Jumbo Prawn Saganaki,,10,,,Chinese rice wine,30
,Oven-Baked Cheesy Portobello Mushroom Risotto,,35,,,Chinese rice wine,30
,One-Pot Creamy Sun-Dried Tomato & Chicken Stew,,35,,,sun-dried tomatoes,30
,Warm Goats' Cheese & Sun-Dried Tomato Salad,,30,,,sun-dried tomatoes,30
,Mushroom Biryani With Cucumber Raita,,10,,,sultanas ,30
,Spicy Halloumi Stew With Couscous,,10,,,sultanas ,30
,Spicy Halloumi Stew With Sultana Couscous,,10,,,sultanas ,30
,Warm Goats' Cheese & Sun-Dried Tomato Salad,,30,,,sultanas ,30
,"Golden Halloumi, Tzatziki & Fruity Couscous",,10,,,sultanas,30
,"Halloumi, Couscous & Orange Salad",,10,,,sultanas,30
,Cheesy Pepperoni Pasta Bake,,35,,,sliced pepperoni,30
,Mediterranean Fish Gyros,,10,,,pitted black olives,30
,Plant-Based Aubergine Pasta Bake,,40,,,panko breadcrumbs,30
,Mediterranean Fish Gyros,,10,,,mayonnaise ,30
,Black Bean & Butternut Chilli With Feta And Avocado,,30,,,Greek feta cheese,30
,Jumbo Prawn Saganaki,,10,,,Greek feta cheese,30
,One-Pot Spiced Lamb & Feta Orzo ,,40,,,Greek feta cheese,30
,Korean Prawn Jjam-Pong Noodle Soup,,25,,,gochujang paste,30
,"Golden Halloumi, Tzatziki & Fruity Couscous",,10,,,diced apricots ,30
,Baharat Beef Stew With Fruity Couscous,,10,,,diced apricots,30
,Harissa Chickpea & Apricot Tagine,,10,,,diced apricots,30
,Moroccan Chicken With Lemony Couscous,,35,,,diced apricots,30
,Baharat Beef Stew With Fruity Couscous,,10,,,chopped dates,30
,Seeded Goats' Cheese & Sweet Potato Salad,,30,,,chopped dates,30
,Baked Spring Veg Casserole With Honey Chicken,,45,,,waxy potatoes,300
,Dijon Salmon With Crushed Potatoes,,10,,,waxy potatoes,300
,Pasta Alla Genovese,,20,,,waxy potatoes,300
,Scandi-Style Mackerel & Potato Salad With Spinach,,20,,,waxy potatoes,300
,Mushroom Biryani With Cucumber Raita,,10,,,steamed white basmati rice,300
,Smoked Fish & Spinach Pilau Rice,,10,,,steamed white basmati rice,300
,Creamy Tarragon & Mustard Lentil Chicken,,10,,,steamed brown basmati rice,300
,Cheesy Lentil & Tomato Stuffed Portobellos,,15,,,portobello mushrooms,300
,Sweet 'N' Sour Chicken With Edamame Rice,,10,,,edamame & jasmine rice,300
,Sweet 'N' Sour Chicken With Edamame Rice,,10,,,chopped pepper & pineapple,300
